No,Tahun,Bulan,Kode,Nama,Luas_Tan_Akhir_Bulan_Lalu,Luas_Panen_Habis,Luas_Panen_Belum_Habis,Luas_Rusak,Luas_Tambah_Tanam,Luas_Tan_Akhir,Produksi_Habis_Kw,Produksi_Belum_Habis_Kw,Harga_Jual_Petani_RpKg,Bulan_num,Periode,Produksi_kg,Luas_Panen_ha,is_zero_produksi
181,2023,Juli,TMT,Tomat,13,2,0,0,2,13,120.0,0,8000,7,2023-07-01,12000.0,2,0
207,2023,Agustus,TMT,Tomat,13,1,0,0,1,13,80.0,0,6000,8,2023-08-01,8000.0,1,0
233,2023,September,TMT,Tomat,13,4,0,0,4,13,280.0,0,3000,9,2023-09-01,28000.0,4,0
259,2023,Oktober,TMT,Tomat,13,4,0,0,4,13,280.0,0,5000,10,2023-10-01,28000.0,4,0
285,2023,November,TMT,Tomat,13,7,6,0,7,13,525.0,450,3000,11,2023-11-01,97500.0,13,0
311,2023,Desember,TMT,Tomat,13,2,0,0,2,13,160.0,0,3000,12,2023-12-01,16000.0,2,0
337,2024,Januari,TMT,Tomat,13,4,9,0,5,14,800.0,1800,5000,1,2024-01-01,260000.0,13,0
363,2024,Februari,TMT,Tomat,14,4,0,0,3,13,800.0,0,4000,2,2024-02-01,80000.0,4,0
389,2024,Maret,TMT,Tomat,13,4,9,0,2,11,800.0,1800,4000,3,2024-03-01,260000.0,13,0
415,2024,April,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,4,2024-04-01,0.0,0,1
441,2024,Mei,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,5,2024-05-01,0.0,0,1
467,2024,Juni,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,6,2024-06-01,0.0,0,1
493,2024,Juli,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,7,2024-07-01,0.0,0,1
519,2024,Agustus,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,8,2024-08-01,0.0,0,1
545,2024,September,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,9,2024-09-01,0.0,0,1
571,2024,Oktober,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,10,2024-10-01,0.0,0,1
597,2024,November,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,11,2024-11-01,0.0,0,1
623,2024,Desember,TMT,Tomat,0,0,0,0,0,0,0.0,0,4333,12,2024-12-01,0.0,0,1
649,2025,Januari,TMT,Tomat,11,4,7,0,3,10,400.0,700,4000,1,2025-01-01,110000.0,11,0
675,2025,Februari,TMT,Tomat,10,4,6,0,8,14,400.0,600,3500,2,2025-02-01,100000.0,10,0
701,2025,Maret,TMT,Tomat,14,3,11,0,2,13,300.0,1100,35000,3,2025-03-01,140000.0,14,0
727,2025,April,TMT,Tomat,13,1,12,0,1,13,100.0,1200,35000,4,2025-04-01,130000.0,13,0
753,2025,Mei,TMT,Tomat,13,1,12,0,1,13,100.0,1200,3500,5,2025-05-01,130000.0,13,0
779,2025,Juni,TMT,Tomat,13,1,12,0,1,13,90.0,1080,3500,6,2025-06-01,117000.0,13,0
805,2025,Juli,TMT,Tomat,13,2,0,0,2,13,120.0,0,8000,7,2025-07-01,12000.0,2,0
831,2025,Agustus,TMT,Tomat,13,1,0,0,1,13,80.0,0,6000,8,2025-08-01,8000.0,1,0
857,2025,September,TMT,Tomat,13,4,0,0,4,13,280.0,0,3000,9,2025-09-01,28000.0,4,0
883,2025,Oktober,TMT,Tomat,13,4,0,0,4,13,280.0,0,5000,10,2025-10-01,28000.0,4,0
909,2025,November,TMT,Tomat,13,7,6,0,7,13,525.0,450,3000,11,2025-11-01,97500.0,13,0
935,2025,Desember,TMT,Tomat,13,2,0,0,2,13,160.0,0,3000,12,2025-12-01,16000.0,2,0
963,2026,Januari,TMT,Tomat,13,4,9,0,5,14,800.0,1800,5000,1,2026-01-01,260000.0,13,0
991,2026,Februari,TMT,Tomat,14,4,0,0,3,13,800.0,0,4000,2,2026-02-01,80000.0,4,0
1019,2026,Maret,TMT,Tomat,13,4,9,0,2,11,800.0,1800,4000,3,2026-03-01,260000.0,13,0
26,2023,Januari,WTL,Wortel,4,1,0,0,1,4,180.0,0,8000,1,2023-01-01,18000.0,1,0
52,2023,Februari,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,2,2023-02-01,18000.0,1,0
78,2023,Maret,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,3,2023-03-01,18000.0,1,0
104,2023,April,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,4,2023-04-01,18000.0,1,0
130,2023,Mei,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,5,2023-05-01,18000.0,1,0
156,2023,Juni,WTL,Wortel,4,1,0,0,1,4,75.0,0,4500,6,2023-06-01,7500.0,1,0
182,2023,Juli,WTL,Wortel,4,0,0,0,0,4,0.0,0,5083,7,2023-07-01,0.0,0,1
208,2023,Agustus,WTL,Wortel,4,0,0,0,0,4,0.0,0,5083,8,2023-08-01,0.0,0,1
234,2023,September,WTL,Wortel,4,0,0,0,0,4,0.0,0,5083,9,2023-09-01,0.0,0,1
260,2023,Oktober,WTL,Wortel,4,0,0,0,0,4,0.0,0,5083,10,2023-10-01,0.0,0,1
286,2023,November,WTL,Wortel,4,0,0,0,0,4,0.0,0,5083,11,2023-11-01,0.0,0,1
312,2023,Desember,WTL,Wortel,4,0,0,0,0,4,0.0,0,5083,12,2023-12-01,0.0,0,1
338,2024,Januari,WTL,Wortel,4,1,0,0,0,3,15.0,0,5000,1,2024-01-01,1500.0,1,0
364,2024,Februari,WTL,Wortel,3,2,0,0,0,1,150.0,0,6000,2,2024-02-01,15000.0,2,0
390,2024,Maret,WTL,Wortel,1,1,0,0,1,1,150.0,0,12000,3,2024-03-01,15000.0,1,0
416,2024,April,WTL,Wortel,10,3,10,0,5,19,1467.0,903,4500,4,2024-04-01,237000.0,13,0
442,2024,Mei,WTL,Wortel,9,2,3,0,18,14,1030.0,31,4500,5,2024-05-01,106100.0,5,0
468,2024,Juni,WTL,Wortel,15,7,11,0,15,8,655.0,1357,4500,6,2024-06-01,201200.0,18,0
494,2024,Juli,WTL,Wortel,18,5,3,0,12,7,160.0,580,4500,7,2024-07-01,74000.0,8,0
520,2024,Agustus,WTL,Wortel,15,5,5,0,18,5,224.0,1317,4500,8,2024-08-01,154100.0,10,0
546,2024,September,WTL,Wortel,7,3,5,0,12,19,266.0,79,4500,9,2024-09-01,34500.0,8,0
572,2024,Oktober,WTL,Wortel,11,6,1,0,6,9,651.0,974,4500,10,2024-10-01,162500.0,7,0
598,2024,November,WTL,Wortel,16,4,6,0,8,9,1330.0,731,4500,11,2024-11-01,206100.0,10,0
624,2024,Desember,WTL,Wortel,12,6,4,0,1,6,820.0,408,4500,12,2024-12-01,122800.0,10,0
650,2025,Januari,WTL,Wortel,4,1,0,0,1,4,180.0,0,8000,1,2025-01-01,18000.0,1,0
676,2025,Februari,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,2,2025-02-01,18000.0,1,0
702,2025,Maret,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,3,2025-03-01,18000.0,1,0
728,2025,April,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,4,2025-04-01,18000.0,1,0
754,2025,Mei,WTL,Wortel,4,1,0,0,1,4,180.0,0,4500,5,2025-05-01,18000.0,1,0
780,2025,Juni,WTL,Wortel,4,1,0,0,1,4,75.0,0,4500,6,2025-06-01,7500.0,1,0
806,2025,Juli,WTL,Wortel,4,0,0,0,0,4,0.0,0,0,7,2025-07-01,0.0,0,1
832,2025,Agustus,WTL,Wortel,4,0,0,0,0,4,0.0,0,0,8,2025-08-01,0.0,0,1
858,2025,September,WTL,Wortel,4,0,0,0,0,4,0.0,0,0,9,2025-09-01,0.0,0,1
884,2025,Oktober,WTL,Wortel,4,0,0,0,0,4,0.0,0,0,10,2025-10-01,0.0,0,1
910,2025,November,WTL,Wortel,4,0,0,0,0,4,0.0,0,0,11,2025-11-01,0.0,0,1
936,2025,Desember,WTL,Wortel,4,0,0,0,0,4,0.0,0,0,12,2025-12-01,0.0,0,1
964,2026,Januari,WTL,Wortel,4,1,0,0,0,3,15.0,0,5000,1,2026-01-01,1500.0,1,0
992,2026,Februari,WTL,Wortel,3,2,0,0,0,1,150.0,0,6000,2,2026-02-01,15000.0,2,0
1020,2026,Maret,WTL,Wortel,1,1,0,0,1,1,150.0,0,12000,3,2026-03-01,15000.0,1,0
