No,Tahun,Bulan,Kode,Nama,Luas Tan Akhir Bulan Lalu,Luas Panen Habis,Luas Panen Belum Habis,Luas Rusak,Luas Tambah Tanam,Luas Tan Akhir,Produksi Habis (Kw),Produksi Belum Habis (Kw),Harga Jual Petani (Rp/Kg),Produksi_Habis_kg,Produksi_BelumHabis_kg,Produksi_kg,Luas_Panen_ha,Bulan_Angka,is_zero_produksi,is_outlier,Periode,Suhu_Rata,Curah_Hujan,Total_Pupuk_Kg,bulan_sin,bulan_cos,lag1_produksi,rolling3_produksi,komoditas_id,komoditas_oh_Bawang Daun,komoditas_oh_Bawang Merah,komoditas_oh_Bawang Putih,komoditas_oh_Bayam,komoditas_oh_Buncis,komoditas_oh_Cabai Besar,komoditas_oh_Cabai Keriting,komoditas_oh_Cabai Rawit,komoditas_oh_Jamur Lainnya,komoditas_oh_Jamur Merang,komoditas_oh_Jamur Tiram,komoditas_oh_Kacang Panjang,komoditas_oh_Kangkung,komoditas_oh_Kembang Kol,komoditas_oh_Kentang,komoditas_oh_Kubis,komoditas_oh_Labu Siam,komoditas_oh_Melon,komoditas_oh_Mentimun,komoditas_oh_Paprika,komoditas_oh_Petsai/Sawi,komoditas_oh_Semangka,komoditas_oh_Stroberi,komoditas_oh_Terung,komoditas_oh_Tomat,komoditas_oh_Wortel,split
132,2023,Juni,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,6,1,False,2023-06-01,0.2068965517241379,0.6658282429033416,0.0,0.5000000000000001,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
158,2023,Juli,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,7,1,False,2023-07-01,0.1034482758620694,0.02227811713977723,0.0,0.2500000000000001,0.06698729810778059,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
184,2023,Agustus,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,8,1,False,2023-08-01,0.4137931034482749,0.0,0.0,0.06698729810778081,0.24999999999999978,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
210,2023,September,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,9,1,False,2023-09-01,0.7241379310344831,0.22385914480776137,0.0,0.0,0.4999999999999999,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
236,2023,Oktober,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,10,1,False,2023-10-01,1.0000000000000009,0.6572044556234279,0.0,0.0669872981077807,0.75,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
262,2023,November,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,11,1,False,2023-11-01,0.4827586206896557,0.9999999999999999,0.0,0.24999999999999978,0.9330127018922192,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
288,2023,Desember,BMR,Bawang Merah,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,12,1,False,2023-12-01,0.4137931034482749,0.9690980955803089,0.0,0.4999999999999999,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
314,2024,Januari,BMR,Bawang Merah,0,0,0,0,2,2,0.0,0,35000,0.0,0,0.0,0.0,1,1,False,2024-01-01,0.2413793103448283,0.6015091627739849,0.0,0.75,0.9330127018922194,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
340,2024,Februari,BMR,Bawang Merah,2,0,0,0,1,3,0.0,0,35000,0.0,0,0.0,0.0,2,1,False,2024-02-01,0.2758620689655169,0.7236794825727632,0.0,0.9330127018922193,0.75,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
366,2024,Maret,BMR,Bawang Merah,3,2,0,0,1,2,300.0,0,35000,30000.0,0,0.11723329425556858,0.10526315789473684,3,0,False,2024-03-01,0.2413793103448283,0.7240388070427596,0.0,1.0,0.5,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
